entidad,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Puebla,289.2611,228.3370,760.9255,714.9570,456.4222,634.0156,775.7131,424.9798,662.7008,381.1317,182.5484,772.9024,594.4525,775.3246,1504.5146,1057.1629,791.4572,1166.5396,953.5664,643.9283,2043.9851,583.0420,627.8020,798.1525,278.5841,362.4627,14605.2375
Querétaro,241.1131,600.5163,744.2009,666.0010,269.3009,442.6367,583.8476,750.5805,815.2669,1071.5038,1131.6137,852.0334,1054.7875,105.4047,926.5999,1128.7311,1442.4689,1075.4659,985.9967,1227.6468,1169.0740,861.0290,879.6675,719.4251,1107.3521,489.3142,17793.9619
Quintana Roo,133.2299,201.2959,414.8667,244.8762,264.5063,271.1644,350.9621,412.1094,1001.7200,297.5621,290.4828,296.6995,504.6001,583.7039,930.2927,223.9353,325.2849,296.5134,479.3342,591.4735,664.1432,160.8541,471.2876,456.2775,1021.5939,82.9076,9090.7756
San Luis Potosí,80.3598,119.9702,307.2101,288.2445,424.4989,292.4191,358.6664,198.7173,523.9220,460.7273,85.0259,473.4947,268.2640,880.3244,2008.1265,1064.8194,1899.0563,814.9290,1405.8624,1766.4254,853.8282,913.2152,702.3224,323.1358,1115.6585,663.5655,16421.4201
Sinaloa,79.2151,29.8599,384.7706,141.9218,138.7368,233.9235,104.4133,146.6564,278.2077,175.9162,149.9618,217.6157,230.9442,432.5047,605.4280,399.9885,428.6681,434.8697,761.5659,414.9616,262.5858,743.2500,543.1376,870.8630,416.3737,141.7586,7655.2571
Sonora,324.9947,649.1729,511.0674,645.7881,565.1890,1262.6634,625.8893,458.5085,961.1366,1577.2234,358.4187,1109.3702,304.1383,1172.8559,2088.7163,815.2925,609.9534,506.3913,368.1287,155.0996,449.6398,582.3322,899.2401,464.1840,2711.7766,63.8628,15656.2688
Tabasco,32.2761,79.4564,231.2091,200.2039,128.0467,284.2062,157.8802,82.4088,179.6004,135.0834,90.3661,141.2625,233.2426,325.4679,323.9348,241.6646,737.4854,112.7537,400.3784,530.2929,490.5902,464.8218,300.4134,27.2582,317.8794,48.0714,5182.9758
Tamaulipas,545.8397,1014.1922,889.5853,1100.0093,959.2752,850.9550,953.5507,854.0937,877.4365,932.4279,603.1636,1035.8757,842.8688,1051.4220,1732.4184,723.8957,1103.2424,1149.5012,1543.2112,1514.4635,1629.8634,707.6999,1273.2090,979.2401,493.7516,104.1051,19151.8896
Tlaxcala,55.0215,55.8620,82.8943,133.6516,196.2631,316.2416,171.4229,242.2260,92.6956,123.7098,72.1920,91.1712,251.2297,79.5091,80.7352,120.7129,152.5185,253.1200,168.0485,143.0563,345.7212,359.7538,50.8052,275.0260,311.3568,33.3375,3246.9252
Veracruz de Ignacio de la Llave,64.0331,300.2322,778.0941,635.3060,453.5149,628.5118,478.1873,252.7404,577.9367,607.7802,518.4132,1230.7728,1189.1174,1061.3208,1702.7500,1271.2542,1589.1215,1045.5130,914.9218,962.0664,1080.6133,1000.6966,935.3470,0.0079,803.3836,684.8842,17428.6410
Yucatán,62.3757,82.6660,228.5819,212.5654,189.1547,178.4481,89.3914,105.3094,192.9766,146.0969,79.8786,94.8176,165.5354,127.9210,516.6635,86.0856,213.4898,125.1417,107.8422,86.0146,159.9513,151.6578,145.5458,547.3721,199.3503,48.5535,3300.2037
Zacatecas,30.2473,45.8587,59.7517,209.8815,117.6187,233.4014,-33.9947,97.1321,867.5194,1836.4623,301.5163,381.9184,466.7329,754.3879,3973.1582,758.9138,107.5755,532.6162,457.6370,301.7354,746.4906,-405.5288,1320.2094,8.7042,641.9358,-11.4473,13137.6693
